title,authors,year,venue,doi,url
Manga Text Detection with Manga-Specific Data Augmentation and Its Applications on Emotion Analysis,"Yi-Ting Yang, W. Chu",2023,Conference on Multimedia Modeling,,https://www.semanticscholar.org/paper/c0360ad2b605ab9a568d91f847018388c867d075
Manga Vectorization and Manipulation with Procedural Simple Screentone,"Chih-Yuan Yao, Shih-Hsuan Hung, Guo-Wei Li, I-Yu Chen, Reza Adhitya, Yu-Chi Lai",2017,IEEE Transactions on Visualization and Computer Graphics,,https://www.semanticscholar.org/paper/57c36aea1b9a428e6b07e29d31693c5fa90ceae7
Manga-MMTL: Multimodal Multitask Transfer Learning for Manga Character Analysis,,,,,
Manga109Dialog: A Large-Scale Dialogue Dataset for Comics Speaker Detection,"Yingxuan Li, K. Aizawa, Yusuke Matsui",2023,IEEE International Conference on Multimedia and Expo,,https://www.semanticscholar.org/paper/0bcd777ae62ead721d31030405b714d1af1b554b
Manga109Dialog: A Large-scale Dialogue Dataset for Comics Speaker Detection,,,,,
Unpaired Photo-to-manga Translation Based on The Methodology of Manga Drawing,"Hao Su, J. Niu, Xuefeng Liu, Qingfeng Li, Jiahe Cui, J. Wan",2020,AAAI Conference on Artificial Intelligence,,https://www.semanticscholar.org/paper/55f45f009bdf4f8ec0bbf5c1c0da6db0e39508da
Mangan: Assisting Colorization Of Manga Characters Concept Art Using Conditional GAN,"Felipe Coelho Silva, Paulo André Lima de Castro, Hélio Ricardo Júnior, E. Marujo",2019,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/2300f3f5d39a3fb647990b767d852b182c1c21f4
MangaNinja: Line Art Colorization with Precise Reference Following,,,,,
MangaUB: A Manga Understanding Benchmark for Large Multimodal Models,,,,,
MaRU: A Manga Retrieval and Understanding System Connecting Vision and Language,"Conghao Shen, Violet Z. Yao, Yixin Liu",2023,arXiv.org,,https://www.semanticscholar.org/paper/502e3ffb78e95a126c8b4f6297dbcf476326e731
MARVEL: Raster Gray-Level Manga Vectorization via Primitive-Wise Deep Reinforcement Learning,"H. Su, Xuefeng Liu, Jianwei Niu, Jiahe Cui, Ji Wan, Xinghao Wu, Nana Wang",2024,IEEE transactions on circuits and systems for video technology (Print),,https://www.semanticscholar.org/paper/d3bd9c979a9b7ceb0cb98cc83285a99246e421f9
Mastering Sketching: Adversarial Augmentation for Structured Prediction,,,,,
MELFuSION: Synthesizing Music from Image and Language Cues Using Diffusion Models,"Sanjoy Chowdhury, Sayan Nag, K. J. Joseph, Balaji Vasan Srinivasan, Dinesh Manocha",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/999d9248eaf9d077044c943c77ae2d1de1041fbf
Method for Automatic E-Comic Scene Frame Extraction for Reading Comic on Mobile Devices,"K. Arai, H. Tolle",2010,2010 Seventh International Conference on Information Technology: New Generations,,https://www.semanticscholar.org/paper/d10db1694aedd2f5c144f3171f61dd844b02f3cc
Method for Real Time Text Extraction of Digital Manga Comic,,,,,
MikuDance: Animating Character Art with Mixed Motion Dynamics,"Jiaxu Zhang, Xianfang Zeng, Xin Chen, Wei Zuo, Gang Yu, Zhigang Tu",2024,arXiv.org,,https://www.semanticscholar.org/paper/a2f008048033893793720b8c7df15c8e2429d6d8
MimicMotion: High-Quality Human Motion Video Generation with Confidence-aware Pose Guidance,"Yuang Zhang, Jiaxi Gu, Li-Wen Wang, Han Wang, Junqi Cheng, Yuefeng Zhu, Fangyuan Zou",2024,arXiv.org,,https://www.semanticscholar.org/paper/c80746c1ff6b60109e1d65fc7451e03254518aec
Mind the Gap: Domain Gap Control for Single Shot Domain Adaptation for Generative Adversarial Networks,"Peihao Zhu, Rameen Abdal, John C. Femiani, Peter Wonka",2021,International Conference on Learning Representations,,https://www.semanticscholar.org/paper/c17cfe3add196c1d66a7981f7246363bfe4f31e4
Mind the Time: Temporally-Controlled Multi-Event Video Generation,"Ziyi Wu, Aliaksandr Siarohin, Willi Menapace, Ivan Skorokhodov, Yuwei Fang, Varnith Chordia, Igor Gilitschenski, Sergey Tulyakov",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/0984e3c9ccfcecd0f31f5b6b2332885588400138
MineGAN: Effective Knowledge Transfer From GANs to Target Domains With Few Images,"Yaxing Wang, Abel Gonzalez-Garcia, David Berga, Luis Herranz, F. Khan, Joost van de Weijer",2019,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/b23cc14ba33e4bfbf4f8774cb0b10a034167e9b2
MineGAN++: Mining Generative Models for Efficient Knowledge Transfer to Limited Data Domains,"Yaxing Wang, Abel Gonzalez-Garcia, Chenshen Wu, Luis Herranz, F. Khan, Shangling Jui, Joost van de Weijer",2021,International Journal of Computer Vision,,https://www.semanticscholar.org/paper/e171d77caeacdb0d7a7adc7a213f4dab2da97bc6
Modeling Artistic Workflows for Image Generation and Editing,,,,,
MontageGAN: Generation and Assembly of Multiple Components by GANs,"Chean Fei Shee, Seiichi Uchida",2022,International Conference on Pattern Recognition,,https://www.semanticscholar.org/paper/c899003cf022ec2b485b0442476f73f513af694f
One-Shot Learning Meets Depth Diffusion in Multi-Object Videos,Anisha Jain,2024,arXiv.org,,https://www.semanticscholar.org/paper/138b1dbfdb6db6aafe60b8d7484131db12e3542a
Movie2Comics: Towards a Lively Video Content Presentation,,,,,
MulT: An End-to-End Multitask Learning Transformer,,,,,
Multi-CartoonGAN with Conditional Adaptive Instance-Layer Normalization for Conditional Artistic Face Translation,"Rina Komatsu, T. Gonsalves",2022,Applied Informatics,,https://www.semanticscholar.org/paper/41818f2e07078e1399182d50cf12537d121e2e43
Multi-Density Sketch-to-Image Translation Network,"Jialu Huang, Liao Jing, Zhifeng Tan, S. Kwong",2020,IEEE transactions on multimedia,,https://www.semanticscholar.org/paper/72271ef9dd1ff6ff2c9b749894d698c8e509a2c7
Multi-modal Segment Assemblage Network for Ad Video Editing with Importance-Coherence Reward,"Yunlong Tang, Siting Xu, Teng Wang, Qin Lin, Qinglin Lu, Feng Zheng",2022,Asian Conference on Computer Vision,,https://www.semanticscholar.org/paper/be5975f7cca9bbf30665d2539619eee01aebddb9
for End-to-End Text Image Machine Translation,"Cong Ma, Yaping Zhang, Mei Tu, Yang Zhao, Yu Zhou, Chengqing Zong",,,,https://www.semanticscholar.org/paper/023f4a05e3dc7e889ee9ceb910f14e0c354e2162
Multimodal Persona Based Generation of Comic Dialogs,"Harsh Agrawal, A. Mishra, Manish Gupta, M. -",2023,Annual Meeting of the Association for Computational Linguistics,,https://www.semanticscholar.org/paper/ae59c492f63f70797ab8e934b6f9513eb4973b2f
Multimodal Transformer for Comics Text-Cloze,"Emanuele Vivoli, Joan Lafuente Baeza, Ernest Valveny Llobet, Dimosthenis Karatzas",2024,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/064bdc53a8458e6ecba0728cf8140f703a1fe819
Queue Detection using Fuzzy-Based Neural Network Model,Daehyon Kim,2003,,,https://www.semanticscholar.org/paper/000602188fb676a922b096b5dfcd6e17d22e7d4c
Object Detection for Comics using Manga109 Annotations,,,,,
ObjectDrop: Bootstrapping Counterfactuals for Photorealistic Object Removal and Insertion,"Daniel Winter, Matan Cohen, Shlomi Fruchter, Y. Pritch, A. Rav-Acha, Yedid Hoshen",2024,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/f56c302f143fc39947c489d0e55f5bc4c786bfab
Occlusion-Aware Manga Character Re-Identification with Self-Paced Contrastive Learning,,,,,
HiveSurf: Breaking the Classification of Natural Landscapes,"Thomas Nicolai, Florian Resatsch, L. Kirchhoff",2006,,,https://www.semanticscholar.org/paper/0530c008b87c0e6f9e9f00a783b1e35651ef9c69
One missing piece in Vision and Language: A Survey on Comics Understanding,"Emanuele Vivoli, Andrey Barsky, Mohamed Ali Souibgui, Artemis LLabres, Marco Bertini, Dimosthenis Karatzas",2024,arXiv.org,,https://www.semanticscholar.org/paper/d8b9881ec3a8bcb365734278e36fefcd020f5275
One-shot Line Extraction from Color Illustrations,,,,,
Open-Vocabulary DETR with Conditional Matching,,,,,
Optical Flow Based Line Drawing Frame Interpolation Using Distance Transform to Support Inbetweenings,"Rei Narita, Keigo Hirakawa, K. Aizawa",2019,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/43d5ef1d4737a1da4ad3dbacd9c243186913eee0
Outline Colorization through Tandem Adversarial Networks,,,,,
Overcoming Long-Term Catastrophic Forgetting Through Adversarial Neural Pruning and Synaptic Consolidation,"Jian Peng, Bo Tang, Jiang Hao, Zhuo Li, Yinjie Lei, Tao Lin, Haifeng Li",2019,IEEE Transactions on Neural Networks and Learning Systems,,https://www.semanticscholar.org/paper/4fd84ab97447bc4861b53c8c3b5a1e2ded983a8e
Page Stream Segmentation with Convolutional Neural Nets Combining Textual and Visual Features,"Gregor Wiedemann, Gerhard Heyer",2017,International Conference on Language Resources and Evaluation,,https://www.semanticscholar.org/paper/aa787dd40f3237b38053cb489338857fcb2c59b9
Paint Bucket Colorization Using Anime Character Color Design Sheets,"Yu Dai, Qinyue Li, Shangchen Zhou, Yihang Luo, Chongyi Li, Chen Change Loy",2024,arXiv.org,,https://www.semanticscholar.org/paper/796ec5dfa6ea364c85ec52a2a0e03a4bfc623886
Painting Style-Aware Manga Colorization Based On Generative Adversarial Networks,"Yugo Shimizu, Ryosuke Furuta, Delong Ouyang, Y. Taniguchi, Ryota Hinami, Shonosuke Ishiwatari",2021,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/5e0e1017b18376f04ed3291c69dde461ee60bbb5
PaintsTorch: a User-Guided Anime Line Art Colorization Tool with Double Generator Conditional Adversarial Network,,,,,
Panel and Speech Balloon Extraction from Comic Books,"Anh Khoi Ngo Ho, J. Burie, J. Ogier",2012,2012 10th IAPR International Workshop on Document Analysis Systems,,https://www.semanticscholar.org/paper/7b85a11f565696a035da0b56e4df2101b8c49991
Panel Tracking for the Extraction and the Classification of Speech Balloons,"H. Jomaa, M. Awad, Lina Ghaibeh",2015,International Conference on Image Analysis and Processing,,https://www.semanticscholar.org/paper/36d4ccfe331f5d18a05ca4a46a7e68687b522a8d
Panel-Page-Aware Comic Genre Understanding,"Chenshu Xu, Xuemiao Xu, Nanxuan Zhao, Weiwei Cai, Huaidong Zhang, Chengze Li, Xueting Liu",2023,IEEE Transactions on Image Processing,,https://www.semanticscholar.org/paper/b7b398491f867e55b5c1ee1477f72d8d8b33eacf
PAniC-3D: Stylized Single-view 3D Reconstruction from Portraits of Anime Characters,"Shuhong Chen, Kevin Zhang, Yichun Shi, Heng Wang, Yiheng Zhu, Guoxian Song, Sizhe An, Janus Kristjansson, X. Yang, Matthias Zwicker",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/e2b8284d0b653b4adac10a16561b14e00ffba6b1
Parsing-Conditioned Anime Translation: A New Dataset and Method,,,,,
Pastiche Master: Exemplar-Based High-Resolution Portrait Style Transfer,"Shuai Yang, Liming Jiang, Ziwei Liu, Chen Change Loy",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/5b7c2f124da41cb4c641b99eadc6e49a07db3a0c
PCT-Net: Full Resolution Image Harmonization Using Pixel-Wise Color Transformations,"Julian Jorge Andrade Guerreiro, Mitsuru Nakazawa, B. Stenger",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/5d0396b718c04b3bd0ad991aed9337a472df49fc
Perceptual-Aware Sketch Simplification Based on Integrated VGG Layers,"Xuemiao Xu, M. Xie, Peiqi Miao, Wei Qu, Wenpeng Xiao, Huaidong Zhang, Xueting Liu, T. Wong",2021,IEEE Transactions on Visualization and Computer Graphics,,https://www.semanticscholar.org/paper/7ec49a27a262a14598606aa4a4538ee31ce4156f
Personalised CLIP or: How to Find Your Vacation Videos,,,,,
Personalized Comic Story Generation,,,,,
PHOG analysis of self-similarity in aesthetic images,"S. A. Amirshahi, M. Koch, Joachim Denzler, C. Redies",2012,Electronic imaging,,https://www.semanticscholar.org/paper/36d36a33b984844e387e2e0a405b547e1ab60970
Preserve Your Own Correlation: A Noise Prior for Video Diffusion Models,"Songwei Ge, Seungjun Nah, Guilin Liu, Tyler Poon, Andrew Tao, Bryan Catanzaro, David Jacobs, Jia-Bin Huang, Ming-Yu Liu, Y. Balaji",2023,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/02bc11de9d2f75bad48166098aa6b30fffee4d70
PhysAnimator: Physics-Guided Generative Cartoon Animation,,,,,
PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain,"Sheng You, Ning You, Minxue Pan",2019,arXiv.org,,https://www.semanticscholar.org/paper/d0e6adb5ce85dedcad4014a3b121b79c0933d0ef
PMSGAN: Parallel Multistage GANs for Face Image Translation,"Changcheng Liang, Mingrui Zhu, N. Wang, Heng Yang, Xinbo Gao",2023,IEEE Transactions on Neural Networks and Learning Systems,,https://www.semanticscholar.org/paper/49523078b5d6902249c32c677f034f705201614f
Pose estimation of anime/manga characters: a case for synthetic data,"Pramook Khungurn, Derek Chou",2016,MANPU@ICPR,,https://www.semanticscholar.org/paper/a730e711f703f40a0c5e21854c928ed79df45872
Potrace : a polygon-based tracing algorithm,P. Selinger,2003,,,https://www.semanticscholar.org/paper/e60b78c1fed3fa907411bb189767e868e4a421f8
Progressive Deep Feature Learning for Manga Character Recognition via Unlabeled Training Data,,,,,
Progressive Full Data Convolutional Neural Networks for Line Extraction from Anime-Style Illustrations,"Yuchen Xin, H. Wong, Sio-Long Lo, Junliang Li",2019,Applied Sciences,,https://www.semanticscholar.org/paper/e7845d3c2506ed71b07994a76056a800c7bb6f8c
PromptFix: You Prompt and We Fix the Photo,,,,,
Advancing Facial Stylization through Semantic Preservation Constraint and Pseudo-Paired Supervision,"Zhanyi Lu, Yue Zhou",2025,arXiv.org,,https://www.semanticscholar.org/paper/fb4252528f2837cd83ef27c19b492d74869591c2
"Qwen-VL: A Versatile Vision-Language Model for Understanding, Localization, Text Reading, and Beyond","Jinze Bai, Shuai Bai, Shusheng Yang, Shijie Wang, Sinan Tan, Peng Wang, Junyang Lin, Chang Zhou, Jingren Zhou",2023,,,https://www.semanticscholar.org/paper/fc6a2f7478f68adefd69e2071f27e38aa1647f2f
RAG: Facial Attribute Editing by Learning Residual Attributes,"Honglun Zhang, Wenqing Chen, Jidong Tian, Hao He, Yaohui Jin",2019,IEEE Access,,https://www.semanticscholar.org/paper/a7c531c4a38721516c6c4c155ee2234e0a3656a1
Raster Manga Vectorization via Primitive-wise Deep Reinforcement Learning,,,,,
Re:Draw -- Context Aware Translation as a Controllable Method for Artistic Production,,,,,
Real-ESRGAN: Training Real-World Blind Super-Resolution with Pure Synthetic Data,,,,,
Real-Time Data-Driven Interactive Rough Sketch Inking,,,,,
Recognizing Text Elements for SVG Comic Compression and Its Novel Applications,,,,,
Reference Based Sketch Extraction via Attention Mechanism,,,,,
Reference-base Image Composition with Sketch via Structure-aware Diffusion Model,,,,,
Reference-based Manga Colorization by Graph Correspondence Using Quadratic Programming,,,,,
Reference-Based Sketch Image Colorization using Augmented-Self Reference and Dense Semantic Correspondence,,,,,
Reference-guided structure-aware deep sketch colorization for cartoons,,,,,
Reframe Anything: LLM Agent for Open World Video Reframing,,,,,
Relation Analysis between Speech Balloon Shapes and Their Serif Descriptions in Comic,,,,,
Research and Development of the Generation in Japanese Manga Based on Frontal Face Image,,,,,
Robust Manga Page Colorization via Coloring Latent Space,,,,,
RPGAN: GANs Interpretability via Random Routing,,,,,
Sakuga-42M Dataset: Scaling Up Cartoon Research ,,,,,
Scalable Comic-like Video Summaries and Layout Disturbance,,,,,
Scaling Concept With Text-Guided Diffusion Models,,,,,
Scaling In-the-Wild Training for Diffusion-based Illumination Harmonization and Editing by Imposing Consistent Light Transport,,,,,
Scenimefy: Learning to Craft Anime Scene via Semi-Supervised Image-to-Image Translation,,,,,
Seamless Manga Inpainting with Semantics Awareness,,,,,
Searching Digital Political Cartoons,,,,,
SEED-Story: Multimodal Long Story Generation with Large Language Model,,,,,
Seg2pix: Few Shot Training Line Art Colorization with Segmented Image Data,,,,,
Self-supervised Enhancement of Latent Discovery in GANs,,,,,
2008 European Summer Meeting of the Association for Symbolic Logic. Logic Colloquium '08,A. Wilkie,2009,Bulletin of Symbolic Logic,,https://www.semanticscholar.org/paper/01d4cf04a0b94d17125bb4dc4f029dde5b55320c
Semantic Parsing of Interpage Relations,"Mehmet Arif Demirtacs, Berke Oral, Mehmet Yasin Akpinar, Onur Deniz",2022,International Conference on Pattern Recognition,,https://www.semanticscholar.org/paper/b7cfab5454a650b7af996d13a3bee28301ab30c7
Semi-Auto Sketch Colorization Based on Conditional Generative Adversarial Networks,"Zijuan Cheng, Fang Meng, Jingbo Mao",2019,"2019 12th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",,https://www.semanticscholar.org/paper/51117eef7eb840dfd751ba6247ab079682d08a38
Semi-Automatic Colorization Pipeline for Anime Characters and its Evaluation in Production,"Akinobu Maejima, Hiroyuki Kubo, Seitaro Shinagawa, Takuya Funatomi, T. Yotsukura, Satoshi Nakamura, Y. Mukaigawa",2022,2022 Nicograph International (NicoInt),,https://www.semanticscholar.org/paper/f19753d20c4d04e0ad3b33f49022b824a96b48a5
Mangan: Assisting Colorization Of Manga Characters Concept Art Using Conditional GAN,"Felipe Coelho Silva, Paulo André Lima de Castro, Hélio Ricardo Júnior, E. Marujo",2019,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/2300f3f5d39a3fb647990b767d852b182c1c21f4
Semi-supervised reference-based sketch extraction using a contrastive learning framework,,,,,
Shading-Guided Manga Screening from Reference,,,,,
Similar Manga Retrieval Using Visual Vocabulary Based on Regions of Interest,"Weihan Sun, K. Kise",2011,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/f27ccd19c7fc446d6a7139238c90809e551226c8
Similarity learning based on pool-based active learning for manga character retrieval,"M. Iwata, Eiki Imazu, K. Kise",2015,Asian Conference on Pattern Recognition,,https://www.semanticscholar.org/paper/b6aa2df8cb265839ade03b96d61bfd1a3c02bd65
Skeleton-Driven Inbetweening of Bitmap Character Drawings,,,,,
Sketch-A-Shape: Zero-Shot Sketch-to-3D Shape Generation,"Aditya Sanghi, P. Jayaraman, Arianna Rampini, J. Lambourne, Hooman Shayani, Evan Atherton, Saeid Asgari Taghanaki",2023,arXiv.org,,https://www.semanticscholar.org/paper/1b610296563ef5ce6de78e096d9bcc52543607d6
Sketch-based Anime Hairstyle Editing with Generative Inpainting,"Shuyang Luo, Haoran Xie, K. Miyata",2021,2021 Nicograph International (NicoInt),,https://www.semanticscholar.org/paper/083db5ebc03b88f31ea6c376581b0d3f8fb45dfd
Sketch-Based Manga Retrieval Using Deep Features,"Rei Narita, Koki Tsubota, T. Yamasaki, K. Aizawa",2017,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/5a1772b31e2ce7d28064f577d41f738552bc182e
Sketch-based manga retrieval using manga109 dataset,"Yusuke Matsui, Kota Ito, Yuji Aramaki, Azuma Fujimoto, Toru Ogawa, T. Yamasaki, K. Aizawa",2015,Multimedia tools and applications,,https://www.semanticscholar.org/paper/1fef45786e707e6b9b8517b0403e596ecbdea6a5
Sketch-Guided Scene Image Generation,,,,,
Sketch2Anim: Towards Transferring Sketch Storyboards into 3D Animation,,,,,
Sketch2Manga: Shaded Manga Screening from Sketch with Diffusion Models,"Jian Lin, Xueting Liu, Chengze Li, M. Xie, Tien‐Tsin Wong",2024,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/2a7fecc6fe8e1220da56369d36569cd7db69f041
Sketch2Manga: Sketch-based manga retrieval,"Yusuke Matsui, K. Aizawa, Yushi Jing",2014,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/c751085c7cf3b2a4a4b1b2a88323a3dd143c82a1
SketchBetween: Video-to-Video Synthesis for Sprite Animation via Sketches,,,,,
SketchColour: Channel Concat Guided DiT-based Sketch-to-Colour Pipeline for 2D Animation,"Bryan Constantine Sadihin, Michael Hua Wang, Shei Pern Chua, Hang Su",2025,arXiv.org,,https://www.semanticscholar.org/paper/ca06fece9bcc8f656ec1bc699b679e7513ef8bbb
SketchMan: Learning to Create Professional Sketches,"Jia Li, Nan Gao, T. Shen, Wei Zhang, Tao Mei, Hui Ren",2020,ACM Multimedia,,https://www.semanticscholar.org/paper/728fe8dd3a9cb43da565d6c49d08c39d862e84af
SmartPaint: a co-creative drawing system based on generative adversarial networks,,,,,
SmartShadow: Artistic Shadow Drawing Tool for Line Drawings,"Lvmin Zhang, Jinyue Jiang, Yi Ji, Chunping Liu",2021,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/78633ef6f2f073942f255b17dad371226da8c668
SPatchGAN: A Statistical Feature Based Discriminator for Unsupervised Image-to-Image Translation,,,,,
Spatially Augmented Speech Bubble to Character Association via Comic Multi-task Learning,"Gurkan Soykan, Deniz Yuret, T. M. Sezgin",2024,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/53b84d85fb38641555aaeee558650122c2ea21a0
Spatially Controllable Image Synthesis with Internal Representation Collaging,,,,,
Speech balloon and speaker association for comics and manga understanding,"Christophe Rigaud, N. L. Thanh, J. Burie, J. Ogier, M. Iwata, Eiki Imazu, K. Kise",2015,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/ab1a9ea7fe98651585490c428270ec89971be03e
SSH: A Self-Supervised Framework for Image Harmonization,,2021,,,https://www.semanticscholar.org/paper/0e2b9974adb45aea22271f112dcf2e2f0bb89229
SSIMBaD: Sigma Scaling with SSIM-Guided Balanced Diffusion for AnimeFace Colorization,"Junpyo Seo, Hanbin Koo, Jieun Yook, B. Moon",2025,arXiv.org,,https://www.semanticscholar.org/paper/8f129b78ca9adfee9c5cbd6668dc545f32ecd88c
SSN: Soft Shadow Network for Image Compositing,,,,,
StarGAN Based Facial Expression Transfer for Anime Characters,,,,,
StdGEN: Semantic-Decomposed 3D Character Generation from Single Images,"Yuze He, Yanning Zhou, Wang Zhao, Zhongkai Wu, Kaiwen Xiao, Wei Yang, Yong-Jin Liu, Xiao Han",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/12337c9ab0e1de31c1f63d698a606052abe7bf14
StencilTorch: An Iterative and User-Guided Framework for Anime Lineart Colorization,,,,,
Stereoscopizing cel animations,"Xueting Liu, Xiangyu Mao, Xuan S. Yang, Linling Zhang, T. Wong",2013,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/1240e294c54b8db79aae28f9f28f9d219eb0cb22
Story Pattern Analysis Based on Scene Order Information in Four-Scene Comics,"Miki Ueno, H. Isahara",2017,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/42fdc21ffa22ef868575cd1ca56179e503baa103
StoryDALL-E: Adapting Pretrained Text-to-Image Transformers for Story Continuation,"Adyasha Maharana, Darryl Hannan, Mohit Bansal",2022,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/9f7914c2577626868e6a69f2c9605b38f941055b
StoryGAN: A Sequential Conditional GAN for Story Visualization,,,,,
StoryImager: A Unified and Efficient Framework for Coherent Story Visualization and Completion,"Ming Tao, Bing-Kun Bao, Hao Tang, Yaowei Wang, Changsheng Xu",2024,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/bba91395fe00ef48cadd557926ec11b07b34f9ed
StoryWeaver: A Unified World Model for Knowledge-Enhanced Story Character Customization,"Jinlu Zhang, Jiji Tang, Rongsheng Zhang, Tangjie Lv, Xiaoshuai Sun",2025,AAAI Conference on Artificial Intelligence,,https://www.semanticscholar.org/paper/3463f20869b13063c16026f9e7db5975e4b7a0b6
Style Transfer for Anime Sketches with Enhanced Residual U-net and Auxiliary Classifier GAN,,,,,
StyleDubber: Towards Multi-Scale Style Learning for Movie Dubbing,"Gaoxiang Cong, Yuankai Qi, Liang Li, Amin Beheshti, Zhedong Zhang, A. Hengel, Ming-Hsuan Yang, Chenggang Yan, Qingming Huang",2024,Annual Meeting of the Association for Computational Linguistics,,https://www.semanticscholar.org/paper/47565e10d98c9a6a9377565f732b3f949ca73d1f
StyleGANEX: StyleGAN-Based Manipulation Beyond Cropped Aligned Faces,"Shuai Yang, Liming Jiang, Ziwei Liu, Chen Change Loy",2023,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/06aa2aa2a29f25437545478e7361744aa35a0419
Styleverse: Towards Identity Stylization across Heterogeneous Domains,,,,,
Stylized-Colorization for Line Arts,,,,,
StyO: Stylize Your Face in Only One-Shot,"Bonan Li, Zicheng Zhang, Xuecheng Nie, Congying Han, Yinhan Hu, Tiande Guo",2023,AAAI Conference on Artificial Intelligence,,https://www.semanticscholar.org/paper/984a9d3217e8e53de5b57097b693b4116766dea0
Surrogate Gradient Field for Latent Space Manipulation,,,,,
Synthesis of Screentone Patterns of Manga Characters,,,,,
Synthesizing Coherent Story with Auto-Regressive Latent Diffusion Models,"Xichen Pan, Pengda Qin, Yuhong Li, Hui Xue, Wenhu Chen",2022,IEEE Workshop/Winter Conference on Applications of Computer Vision,,https://www.semanticscholar.org/paper/33ef78737ba57ecc1ff98c22369a8e17ed90eb98
Tag2Pix: Line Art Colorization Using Text Tag With SECat and Changing Loss,,,,,
Tails Tell Tales: Chapter-Wide Manga Transcriptions with Character Names,"Ragav Sachdeva, Gyungin Shin, Andrew Zisserman",2024,Asian Conference on Computer Vision,,https://www.semanticscholar.org/paper/efcb481e958017e7a226f64e21769683c3baa7b9
Taming Visually Guided Sound Generation,,,,,
Temporal Noise Control for Sketchy Animation,,,,,
Text detection in manga by combining connected-component-based and region-based classifications,"Yuji Aramaki, Yusuke Matsui, T. Yamasaki, K. Aizawa",2016,International Conference on Information Photonics,,https://www.semanticscholar.org/paper/2d32aa47bed762b441e043f80c2cc0839b70fbdd
"Text Detection in Manga by Deep Region Proposal, Classification, and Regression","W. Chu, Chih-Chi Yu",2018,Visual Communications and Image Processing,,https://www.semanticscholar.org/paper/f5a1eba14297ae3ccb10e1a6df8fb692f2175a9b
Text-aware balloon extraction from manga,"Xueting Liu, Chengze Li, Haichao Zhu, T. Wong, Xuemiao Xu",2015,The Visual Computer,,https://www.semanticscholar.org/paper/914997197ebc05e2cccae6ddc231efa4201eacbc
Textoon: Generating Vivid 2D Cartoon Characters from Text Descriptions,"Chao He, Jianqiang Ren, Liefeng Bo",2025,arXiv.org,,https://www.semanticscholar.org/paper/f5c9b6cbf9063ff15444b6773fb9b81d4efcec4a
TexToons: practical texture mapping for hand-drawn cartoon animations,"D. Sýkora, M. Ben-Chen, Martin Čadík, B. Whited, Maryann Simmons",2011,International Symposium on Non-Photorealistic Animation and Rendering,,https://www.semanticscholar.org/paper/18bc297b02f866b7cdb87ffd303401019698592c
The Amazing Mysteries of the Gutter: Drawing Inferences Between Panels in Comic Book Narratives,"Mohit Iyyer, Varun Manjunatha, Anupam Guha, Yogarshi Vyas, Jordan L. Boyd-Graber, Hal Daumé, L. Davis",2016,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/bf63276c90a803fe0d069ce0a3a4a8236e756363
The Animation Transformer: Visual Correspondence via Segment Matching,"Evan Casey, V. P'erez, Zhuoru Li, Harry Teitelman, Nick Boyajian, Tim Pulver, Mike Manh, William Grisaitis",2021,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/81ec001cbcb658292be88403c4bf4d18bc81ef03
The Future of Graphic Novel Translation: Fully Automated Systems,,,,,
The Manga Whisperer: Automatically Generating Transcriptions for Comics,"Ragav Sachdeva, Andrew Zisserman",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/96fb0e4049616cb4bed223c9591497e8323d1bfa
The Visual Language Research Corpus (VLRC) Project,,,,,
